a 
22 
Philip I, xxvii.vi.mdvi 
joanna the mad, xxvi.XI.MDIV 
Philip ii, XVI.i.MDLVI 
joanna XIIII, XXVII.XI.MDIV 
charles i the emperor, XIV.III.mdxvi 
Charles II, XVII.IX.MDCLXV 
joanna L, XXVI.XI.MDIV 
PHILIP III, XIII.IX.MDXCVIII 
Philip iv the Great, XXXI.iii.MDCXXI 
Louis I, XIV.I.mdccxxiv 
joanna, XXX.II.MDLXXX 
Philip V, Vi.IX.MDCCXXIV 
Philip V, XVI.XI.MDCC 
charles ii, XXX.XIII.MDLXXX 
Philip the Not so Great, XVIII.V.MDCCL 
Philip IIV the Wrong Roman Numeral, XV.IV.Mdc 
Philip, III.II.MDI 
charles ii the extra, XXVI.VI.MDCCLXXX 
Charles ii the Extra too, XXV.VI.MDCCLXXX 
philip xxii more extra, XXXI.XII.MDCCCXCIX 
charles ii, XXX.XII.MCDXCIX 
charles ii, XXX.XIIII.MCDXCIX 
